Expression	Value	Location	Type	
[130]	'N' (0x4E)	0x1002445A	char	
[131]	'¿' (0xBF)	0x1002445B	char	
[132]	'’' (0x92)	0x1002445C	char	
[133]	'‘' (0x91)	0x1002445D	char	
[134]	'è' (0xE8)	0x1002445E	char	
[135]	'à' (0xE0)	0x1002445F	char	
[136]	'†' (0x86)	0x10024460	char	
[137]	'Æ' (0xC6)	0x10024461	char	
[138]	'¡' (0xA1)	0x10024462	char	
[139]	'K' (0x4B)	0x10024463	char	
[140]	'ˆ' (0x88)	0x10024464	char	
[141]	'g' (0x67)	0x10024465	char	
[142]	'E' (0x45)	0x10024466	char	
[143]	'Ö' (0xD6)	0x10024467	char	
[144]	'z' (0x7A)	0x10024468	char	
[145]	'Æ' (0xC6)	0x10024469	char	
[146]	'R' (0x52)	0x1002446A	char	
[147]	'R' (0x52)	0x1002446B	char	
[148]	'.' (0x19)	0x1002446C	char	
[149]	'0' (0x30)	0x1002446D	char	
[150]	'õ' (0xF5)	0x1002446E	char	
[151]	'Z' (0x5A)	0x1002446F	char	
[152]	'i' (0x69)	0x10024470	char	
[153]	',' (0x2C)	0x10024471	char	
[154]	'.' (0x06)	0x10024472	char	
[155]	'Ê' (0xCA)	0x10024473	char	
[156]	'.' (0x1C)	0x10024474	char	
[157]	'ÿ' (0xFF)	0x10024475	char	
[158]	'ö' (0xF6)	0x10024476	char	
[159]	'¸' (0xB8)	0x10024477	char	
[160]	'C' (0x43)	0x10024478	char	
[161]	'»' (0xBB)	0x10024479	char	
[162]	',' (0x2C)	0x1002447A	char	
[163]	'‡' (0x87)	0x1002447B	char	
[164]	'ž' (0x9E)	0x1002447C	char	
[165]	'ž' (0x9E)	0x1002447D	char	
[166]	'>' (0x3E)	0x1002447E	char	
[167]	'>' (0x3E)	0x1002447F	char	
[168]	'z' (0x7A)	0x10024480	char	
[169]	'\t' (0x09)	0x10024481	char	
[170]	'' (0x8F)	0x10024482	char	
[171]	'0' (0x30)	0x10024483	char	
[172]	'Q' (0x51)	0x10024484	char	
[173]	'û' (0xFB)	0x10024485	char	
[174]	'#' (0x23)	0x10024486	char	
[175]	'Z' (0x5A)	0x10024487	char	
[176]	'³' (0xB3)	0x10024488	char	
[177]	'ò' (0xF2)	0x10024489	char	
[178]	'f' (0x66)	0x1002448A	char	
[179]	'à' (0xE0)	0x1002448B	char	
[180]	'J' (0x4A)	0x1002448C	char	
[181]	'õ' (0xF5)	0x1002448D	char	
[182]	'.' (0x15)	0x1002448E	char	
[183]	'.' (0x1C)	0x1002448F	char	
[184]	'Ç' (0xC7)	0x10024490	char	
[185]	'2' (0x32)	0x10024491	char	
[186]	'™' (0x99)	0x10024492	char	
