Expression	Value	Location	Type	
[1272]	'{' (0x7B)	0x100248D0	char	
[1273]	'_' (0x5F)	0x100248D1	char	
[1274]	'a' (0x61)	0x100248D2	char	
[1275]	'¢' (0xA2)	0x100248D3	char	
[1276]	'ï' (0xEF)	0x100248D4	char	
[1277]	'H' (0x48)	0x100248D5	char	
[1278]	'.' (0x1E)	0x100248D6	char	
[1279]	'¸' (0xB8)	0x100248D7	char	
[1280]	'C' (0x43)	0x100248D8	char	
[1281]	'»' (0xBB)	0x100248D9	char	
[1282]	',' (0x2C)	0x100248DA	char	
[1283]	'‡' (0x87)	0x100248DB	char	
[1284]	'ž' (0x9E)	0x100248DC	char	
[1285]	'ž' (0x9E)	0x100248DD	char	
[1286]	'7' (0x37)	0x100248DE	char	
[1287]	'†' (0x86)	0x100248DF	char	
[1288]	'X' (0x58)	0x100248E0	char	
[1289]	'.' (0x0E)	0x100248E1	char	
[1290]	'}' (0x7D)	0x100248E2	char	
[1291]	'î' (0xEE)	0x100248E3	char	
[1292]	'.' (0x12)	0x100248E4	char	
[1293]	'¡' (0xA1)	0x100248E5	char	
[1294]	'3' (0x33)	0x100248E6	char	
[1295]	'' (0x81)	0x100248E7	char	
[1296]	'z' (0x7A)	0x100248E8	char	
[1297]	'¬' (0xAC)	0x100248E9	char	
[1298]	'ó' (0xF3)	0x100248EA	char	
[1299]	'' (0x90)	0x100248EB	char	
[1300]	'ï' (0xEF)	0x100248EC	char	
[1301]	']' (0x5D)	0x100248ED	char	
[1302]	'D' (0x44)	0x100248EE	char	
[1303]	'.' (0x7F)	0x100248EF	char	
[1304]	'' (0x81)	0x100248F0	char	
[1305]	'ê' (0xEA)	0x100248F1	char	
[1306]	'\' (0x5C)	0x100248F2	char	
[1307]	'F' (0x46)	0x100248F3	char	
[1308]	'Ã' (0xC3)	0x100248F4	char	
[1309]	'.' (0x13)	0x100248F5	char	
[1310]	'Y' (0x59)	0x100248F6	char	
[1311]	'´' (0xB4)	0x100248F7	char	
[1312]	'•' (0x95)	0x100248F8	char	
[1313]	'¥' (0xA5)	0x100248F9	char	
[1314]	'Þ' (0xDE)	0x100248FA	char	
[1315]	'ý' (0xFD)	0x100248FB	char	
[1316]	'Þ' (0xDE)	0x100248FC	char	
[1317]	'o' (0x6F)	0x100248FD	char	
[1318]	'©' (0xA9)	0x100248FE	char	
[1319]	'ë' (0xEB)	0x100248FF	char	
[1320]	'ê' (0xEA)	0x10024900	char	
[1321]	'•' (0x95)	0x10024901	char	
[1322]	'h' (0x68)	0x10024902	char	
[1323]	'c' (0x63)	0x10024903	char	
[1324]	'Z' (0x5A)	0x10024904	char	
[1325]	'.' (0x1B)	0x10024905	char	
[1326]	'¦' (0xA6)	0x10024906	char	
[1327]	'Ý' (0xDD)	0x10024907	char	
[1328]	'Û' (0xDB)	0x10024908	char	
[1329]	'9' (0x39)	0x10024909	char	
[1330]	'‚' (0x82)	0x1002490A	char	
[1331]	'u' (0x75)	0x1002490B	char	
[1332]	'ü' (0xFC)	0x1002490C	char	
[1333]	'”' (0x94)	0x1002490D	char	
[1334]	'' (0x8F)	0x1002490E	char	
[1335]	'G' (0x47)	0x1002490F	char	
[1336]	'.' (0x04)	0x10024910	char	
[1337]	'6' (0x36)	0x10024911	char	
[1338]	'6' (0x36)	0x10024912	char	
[1339]	'S' (0x53)	0x10024913	char	
[1340]	'”' (0x94)	0x10024914	char	
[1341]	'>' (0x3E)	0x10024915	char	
[1342]	'W' (0x57)	0x10024916	char	
[1343]	'Y' (0x59)	0x10024917	char	
[1344]	'ë' (0xEB)	0x10024918	char	
[1345]	'.' (0x19)	0x10024919	char	
[1346]	'I' (0x49)	0x1002491A	char	
[1347]	'H' (0x48)	0x1002491B	char	
[1348]	'd' (0x64)	0x1002491C	char	
[1349]	'ç' (0xE7)	0x1002491D	char	
[1350]	'?' (0x3F)	0x1002491E	char	
[1351]	'ø' (0xF8)	0x1002491F	char	
[1352]	'{' (0x7B)	0x10024920	char	
[1353]	'_' (0x5F)	0x10024921	char	
[1354]	'a' (0x61)	0x10024922	char	
[1355]	'*' (0x2A)	0x10024923	char	
[1356]	'ï' (0xEF)	0x10024924	char	
[1357]	'8' (0x38)	0x10024925	char	
[1358]	'.' (0x1E)	0x10024926	char	
[1359]	'¸' (0xB8)	0x10024927	char	
[1360]	'C' (0x43)	0x10024928	char	
[1361]	'»' (0xBB)	0x10024929	char	
[1362]	',' (0x2C)	0x1002492A	char	
[1363]	'‡' (0x87)	0x1002492B	char	
[1364]	'ž' (0x9E)	0x1002492C	char	
[1365]	'ž' (0x9E)	0x1002492D	char	
[1366]	'7' (0x37)	0x1002492E	char	
[1367]	'†' (0x86)	0x1002492F	char	
[1368]	'X' (0x58)	0x10024930	char	
[1369]	'.' (0x0E)	0x10024931	char	
[1370]	'}' (0x7D)	0x10024932	char	
[1371]	'î' (0xEE)	0x10024933	char	
[1372]	'.' (0x12)	0x10024934	char	
[1373]	'¡' (0xA1)	0x10024935	char	
[1374]	'3' (0x33)	0x10024936	char	
[1375]	'' (0x81)	0x10024937	char	
[1376]	'z' (0x7A)	0x10024938	char	
[1377]	'¬' (0xAC)	0x10024939	char	
[1378]	'ó' (0xF3)	0x1002493A	char	
[1379]	'' (0x90)	0x1002493B	char	
[1380]	'ï' (0xEF)	0x1002493C	char	
[1381]	']' (0x5D)	0x1002493D	char	
[1382]	'D' (0x44)	0x1002493E	char	
[1383]	'.' (0x7F)	0x1002493F	char	
[1384]	'' (0x81)	0x10024940	char	
[1385]	'ê' (0xEA)	0x10024941	char	
[1386]	'\' (0x5C)	0x10024942	char	
[1387]	'F' (0x46)	0x10024943	char	
[1388]	'Ã' (0xC3)	0x10024944	char	
[1389]	'.' (0x13)	0x10024945	char	
[1390]	'Y' (0x59)	0x10024946	char	
[1391]	'´' (0xB4)	0x10024947	char	
[1392]	'•' (0x95)	0x10024948	char	
[1393]	'¥' (0xA5)	0x10024949	char	
[1394]	'Þ' (0xDE)	0x1002494A	char	
[1395]	'ý' (0xFD)	0x1002494B	char	
[1396]	'Þ' (0xDE)	0x1002494C	char	
[1397]	'o' (0x6F)	0x1002494D	char	
[1398]	'©' (0xA9)	0x1002494E	char	
[1399]	'ë' (0xEB)	0x1002494F	char	
[1400]	'ê' (0xEA)	0x10024950	char	
[1401]	'•' (0x95)	0x10024951	char	
[1402]	'h' (0x68)	0x10024952	char	
[1403]	'c' (0x63)	0x10024953	char	
[1404]	'Z' (0x5A)	0x10024954	char	
[1405]	'.' (0x1B)	0x10024955	char	
[1406]	'¦' (0xA6)	0x10024956	char	
[1407]	'Ý' (0xDD)	0x10024957	char	
[1408]	'Û' (0xDB)	0x10024958	char	
[1409]	'9' (0x39)	0x10024959	char	
[1410]	'‚' (0x82)	0x1002495A	char	
[1411]	'u' (0x75)	0x1002495B	char	
[1412]	'ü' (0xFC)	0x1002495C	char	
[1413]	'”' (0x94)	0x1002495D	char	
[1414]	'' (0x8F)	0x1002495E	char	
[1415]	'G' (0x47)	0x1002495F	char	
[1416]	'.' (0x04)	0x10024960	char	
[1417]	'6' (0x36)	0x10024961	char	
[1418]	'6' (0x36)	0x10024962	char	
[1419]	'S' (0x53)	0x10024963	char	
[1420]	'”' (0x94)	0x10024964	char	
[1421]	'>' (0x3E)	0x10024965	char	
[1422]	'W' (0x57)	0x10024966	char	
[1423]	'Y' (0x59)	0x10024967	char	
[1424]	'ë' (0xEB)	0x10024968	char	
[1425]	'.' (0x19)	0x10024969	char	
[1426]	'I' (0x49)	0x1002496A	char	
[1427]	'H' (0x48)	0x1002496B	char	
[1428]	'd' (0x64)	0x1002496C	char	
[1429]	'ç' (0xE7)	0x1002496D	char	
[1430]	'?' (0x3F)	0x1002496E	char	
[1431]	'ø' (0xF8)	0x1002496F	char	
[1432]	'{' (0x7B)	0x10024970	char	
[1433]	'_' (0x5F)	0x10024971	char	
[1434]	'a' (0x61)	0x10024972	char	
[1435]	'¢' (0xA2)	0x10024973	char	
[1436]	'ï' (0xEF)	0x10024974	char	
[1437]	'H' (0x48)	0x10024975	char	
[1438]	'.' (0x16)	0x10024976	char	
[1439]	'¸' (0xB8)	0x10024977	char	
[1440]	'C' (0x43)	0x10024978	char	
[1441]	'»' (0xBB)	0x10024979	char	
[1442]	',' (0x2C)	0x1002497A	char	
[1443]	'‡' (0x87)	0x1002497B	char	
[1444]	'ž' (0x9E)	0x1002497C	char	
[1445]	'ž' (0x9E)	0x1002497D	char	
[1446]	'7' (0x37)	0x1002497E	char	
[1447]	'†' (0x86)	0x1002497F	char	
[1448]	'X' (0x58)	0x10024980	char	
[1449]	'.' (0x0E)	0x10024981	char	
[1450]	'}' (0x7D)	0x10024982	char	
[1451]	'î' (0xEE)	0x10024983	char	
[1452]	'.' (0x12)	0x10024984	char	
[1453]	'¡' (0xA1)	0x10024985	char	
[1454]	'3' (0x33)	0x10024986	char	
[1455]	'' (0x81)	0x10024987	char	
[1456]	'z' (0x7A)	0x10024988	char	
[1457]	'¬' (0xAC)	0x10024989	char	
[1458]	'ó' (0xF3)	0x1002498A	char	
[1459]	'' (0x90)	0x1002498B	char	
[1460]	'ï' (0xEF)	0x1002498C	char	
[1461]	']' (0x5D)	0x1002498D	char	
[1462]	'D' (0x44)	0x1002498E	char	
[1463]	'.' (0x7F)	0x1002498F	char	
[1464]	'' (0x81)	0x10024990	char	
[1465]	'ê' (0xEA)	0x10024991	char	
[1466]	'\' (0x5C)	0x10024992	char	
[1467]	'F' (0x46)	0x10024993	char	
[1468]	'Ã' (0xC3)	0x10024994	char	
[1469]	'.' (0x13)	0x10024995	char	
[1470]	'Y' (0x59)	0x10024996	char	
[1471]	'´' (0xB4)	0x10024997	char	
[1472]	'•' (0x95)	0x10024998	char	
[1473]	'¥' (0xA5)	0x10024999	char	
[1474]	'Þ' (0xDE)	0x1002499A	char	
[1475]	'ý' (0xFD)	0x1002499B	char	
[1476]	'Þ' (0xDE)	0x1002499C	char	
[1477]	'o' (0x6F)	0x1002499D	char	
[1478]	'©' (0xA9)	0x1002499E	char	
[1479]	'ë' (0xEB)	0x1002499F	char	
[1480]	'ê' (0xEA)	0x100249A0	char	
[1481]	'•' (0x95)	0x100249A1	char	
[1482]	'h' (0x68)	0x100249A2	char	
[1483]	'c' (0x63)	0x100249A3	char	
[1484]	'Z' (0x5A)	0x100249A4	char	
[1485]	'.' (0x1B)	0x100249A5	char	
[1486]	'¦' (0xA6)	0x100249A6	char	
[1487]	'Ý' (0xDD)	0x100249A7	char	
[1488]	'Û' (0xDB)	0x100249A8	char	
[1489]	'9' (0x39)	0x100249A9	char	
[1490]	'‚' (0x82)	0x100249AA	char	
[1491]	'u' (0x75)	0x100249AB	char	
[1492]	'ü' (0xFC)	0x100249AC	char	
[1493]	'”' (0x94)	0x100249AD	char	
[1494]	'' (0x8F)	0x100249AE	char	
[1495]	'G' (0x47)	0x100249AF	char	
[1496]	'.' (0x04)	0x100249B0	char	
[1497]	'6' (0x36)	0x100249B1	char	
[1498]	'6' (0x36)	0x100249B2	char	
[1499]	'S' (0x53)	0x100249B3	char	
[1500]	'”' (0x94)	0x100249B4	char	
[1501]	'>' (0x3E)	0x100249B5	char	
[1502]	'W' (0x57)	0x100249B6	char	
[1503]	'Y' (0x59)	0x100249B7	char	
[1504]	'ë' (0xEB)	0x100249B8	char	
[1505]	'.' (0x19)	0x100249B9	char	
[1506]	'I' (0x49)	0x100249BA	char	
[1507]	'H' (0x48)	0x100249BB	char	
[1508]	'd' (0x64)	0x100249BC	char	
[1509]	'ç' (0xE7)	0x100249BD	char	
[1510]	'?' (0x3F)	0x100249BE	char	
[1511]	'ø' (0xF8)	0x100249BF	char	
[1512]	'{' (0x7B)	0x100249C0	char	
[1513]	'_' (0x5F)	0x100249C1	char	
[1514]	'a' (0x61)	0x100249C2	char	
[1515]	'"' (0x22)	0x100249C3	char	
[1516]	'ï' (0xEF)	0x100249C4	char	
[1517]	'8' (0x38)	0x100249C5	char	
[1518]	'.' (0x1E)	0x100249C6	char	
[1519]	'¸' (0xB8)	0x100249C7	char	
[1520]	'C' (0x43)	0x100249C8	char	
[1521]	'»' (0xBB)	0x100249C9	char	
[1522]	',' (0x2C)	0x100249CA	char	
[1523]	'‡' (0x87)	0x100249CB	char	
[1524]	'ž' (0x9E)	0x100249CC	char	
[1525]	'ž' (0x9E)	0x100249CD	char	
[1526]	'7' (0x37)	0x100249CE	char	
[1527]	'†' (0x86)	0x100249CF	char	
[1528]	'X' (0x58)	0x100249D0	char	
[1529]	'.' (0x0E)	0x100249D1	char	
[1530]	'}' (0x7D)	0x100249D2	char	
[1531]	'î' (0xEE)	0x100249D3	char	
[1532]	'.' (0x12)	0x100249D4	char	
[1533]	'¡' (0xA1)	0x100249D5	char	
[1534]	'3' (0x33)	0x100249D6	char	
[1535]	'' (0x81)	0x100249D7	char	
[1536]	'z' (0x7A)	0x100249D8	char	
[1537]	'¬' (0xAC)	0x100249D9	char	
[1538]	'ó' (0xF3)	0x100249DA	char	
[1539]	'' (0x90)	0x100249DB	char	
[1540]	'ï' (0xEF)	0x100249DC	char	
[1541]	']' (0x5D)	0x100249DD	char	
[1542]	'D' (0x44)	0x100249DE	char	
[1543]	'.' (0x7F)	0x100249DF	char	
[1544]	'' (0x81)	0x100249E0	char	
[1545]	'ê' (0xEA)	0x100249E1	char	
[1546]	'\' (0x5C)	0x100249E2	char	
[1547]	'F' (0x46)	0x100249E3	char	
[1548]	'Ã' (0xC3)	0x100249E4	char	
[1549]	'.' (0x13)	0x100249E5	char	
[1550]	'Y' (0x59)	0x100249E6	char	
[1551]	'´' (0xB4)	0x100249E7	char	
[1552]	'•' (0x95)	0x100249E8	char	
[1553]	'¥' (0xA5)	0x100249E9	char	
[1554]	'Þ' (0xDE)	0x100249EA	char	
[1555]	'ý' (0xFD)	0x100249EB	char	
[1556]	'Þ' (0xDE)	0x100249EC	char	
[1557]	'o' (0x6F)	0x100249ED	char	
[1558]	'©' (0xA9)	0x100249EE	char	
[1559]	'ë' (0xEB)	0x100249EF	char	
[1560]	'ê' (0xEA)	0x100249F0	char	
[1561]	'•' (0x95)	0x100249F1	char	
[1562]	'h' (0x68)	0x100249F2	char	
[1563]	'c' (0x63)	0x100249F3	char	
[1564]	'Z' (0x5A)	0x100249F4	char	
[1565]	'.' (0x1B)	0x100249F5	char	
[1566]	'¦' (0xA6)	0x100249F6	char	
[1567]	'Ý' (0xDD)	0x100249F7	char	
[1568]	'Û' (0xDB)	0x100249F8	char	
[1569]	'9' (0x39)	0x100249F9	char	
[1570]	'‚' (0x82)	0x100249FA	char	
[1571]	'u' (0x75)	0x100249FB	char	
[1572]	'ü' (0xFC)	0x100249FC	char	
[1573]	'”' (0x94)	0x100249FD	char	
[1574]	'' (0x8F)	0x100249FE	char	
[1575]	'G' (0x47)	0x100249FF	char	
[1576]	'.' (0x04)	0x10024A00	char	
[1577]	'6' (0x36)	0x10024A01	char	
[1578]	'6' (0x36)	0x10024A02	char	
[1579]	'S' (0x53)	0x10024A03	char	
[1580]	'”' (0x94)	0x10024A04	char	
[1581]	'>' (0x3E)	0x10024A05	char	
[1582]	'W' (0x57)	0x10024A06	char	
[1583]	'Y' (0x59)	0x10024A07	char	
[1584]	'ë' (0xEB)	0x10024A08	char	
[1585]	'.' (0x19)	0x10024A09	char	
[1586]	'I' (0x49)	0x10024A0A	char	
[1587]	'H' (0x48)	0x10024A0B	char	
[1588]	'd' (0x64)	0x10024A0C	char	
[1589]	'ç' (0xE7)	0x10024A0D	char	
[1590]	'?' (0x3F)	0x10024A0E	char	
[1591]	'ø' (0xF8)	0x10024A0F	char	
[1592]	'{' (0x7B)	0x10024A10	char	
[1593]	'_' (0x5F)	0x10024A11	char	
[1594]	'a' (0x61)	0x10024A12	char	
[1595]	'ª' (0xAA)	0x10024A13	char	
[1596]	'ñ' (0xF1)	0x10024A14	char	
[1597]	'H' (0x48)	0x10024A15	char	
[1598]	'.' (0x1E)	0x10024A16	char	
[1599]	'¸' (0xB8)	0x10024A17	char	
[1600]	'C' (0x43)	0x10024A18	char	
[1601]	'»' (0xBB)	0x10024A19	char	
[1602]	',' (0x2C)	0x10024A1A	char	
[1603]	'‡' (0x87)	0x10024A1B	char	
[1604]	'ž' (0x9E)	0x10024A1C	char	
[1605]	'ž' (0x9E)	0x10024A1D	char	
[1606]	'7' (0x37)	0x10024A1E	char	
[1607]	'†' (0x86)	0x10024A1F	char	
[1608]	'X' (0x58)	0x10024A20	char	
[1609]	'.' (0x0E)	0x10024A21	char	
[1610]	'}' (0x7D)	0x10024A22	char	
[1611]	'î' (0xEE)	0x10024A23	char	
[1612]	'.' (0x12)	0x10024A24	char	
[1613]	'¡' (0xA1)	0x10024A25	char	
[1614]	'3' (0x33)	0x10024A26	char	
[1615]	'' (0x81)	0x10024A27	char	
[1616]	'z' (0x7A)	0x10024A28	char	
[1617]	'¬' (0xAC)	0x10024A29	char	
[1618]	'ó' (0xF3)	0x10024A2A	char	
[1619]	'' (0x90)	0x10024A2B	char	
[1620]	'ï' (0xEF)	0x10024A2C	char	
[1621]	']' (0x5D)	0x10024A2D	char	
[1622]	'D' (0x44)	0x10024A2E	char	
[1623]	'.' (0x7F)	0x10024A2F	char	
[1624]	'' (0x81)	0x10024A30	char	
[1625]	'ê' (0xEA)	0x10024A31	char	
[1626]	'\' (0x5C)	0x10024A32	char	
[1627]	'F' (0x46)	0x10024A33	char	
[1628]	'Ã' (0xC3)	0x10024A34	char	
[1629]	'.' (0x13)	0x10024A35	char	
[1630]	'Y' (0x59)	0x10024A36	char	
[1631]	'´' (0xB4)	0x10024A37	char	
[1632]	'•' (0x95)	0x10024A38	char	
[1633]	'¥' (0xA5)	0x10024A39	char	
[1634]	'Þ' (0xDE)	0x10024A3A	char	
[1635]	'ý' (0xFD)	0x10024A3B	char	
[1636]	'Þ' (0xDE)	0x10024A3C	char	
[1637]	'o' (0x6F)	0x10024A3D	char	
[1638]	'©' (0xA9)	0x10024A3E	char	
[1639]	'ë' (0xEB)	0x10024A3F	char	
[1640]	'ê' (0xEA)	0x10024A40	char	
[1641]	'•' (0x95)	0x10024A41	char	
[1642]	'h' (0x68)	0x10024A42	char	
[1643]	'c' (0x63)	0x10024A43	char	
[1644]	'Z' (0x5A)	0x10024A44	char	
[1645]	'.' (0x1B)	0x10024A45	char	
[1646]	'¦' (0xA6)	0x10024A46	char	
[1647]	'Ý' (0xDD)	0x10024A47	char	
[1648]	'Û' (0xDB)	0x10024A48	char	
[1649]	'9' (0x39)	0x10024A49	char	
[1650]	'‚' (0x82)	0x10024A4A	char	
[1651]	'u' (0x75)	0x10024A4B	char	
[1652]	'ü' (0xFC)	0x10024A4C	char	
[1653]	'”' (0x94)	0x10024A4D	char	
[1654]	'' (0x8F)	0x10024A4E	char	
[1655]	'G' (0x47)	0x10024A4F	char	
[1656]	'.' (0x04)	0x10024A50	char	
[1657]	'6' (0x36)	0x10024A51	char	
[1658]	'6' (0x36)	0x10024A52	char	
[1659]	'S' (0x53)	0x10024A53	char	
[1660]	'”' (0x94)	0x10024A54	char	
[1661]	'>' (0x3E)	0x10024A55	char	
[1662]	'W' (0x57)	0x10024A56	char	
[1663]	'Y' (0x59)	0x10024A57	char	
[1664]	'ë' (0xEB)	0x10024A58	char	
[1665]	'.' (0x19)	0x10024A59	char	
[1666]	'I' (0x49)	0x10024A5A	char	
[1667]	'H' (0x48)	0x10024A5B	char	
[1668]	'd' (0x64)	0x10024A5C	char	
[1669]	'ç' (0xE7)	0x10024A5D	char	
[1670]	'?' (0x3F)	0x10024A5E	char	
[1671]	'ø' (0xF8)	0x10024A5F	char	
[1672]	'{' (0x7B)	0x10024A60	char	
[1673]	'_' (0x5F)	0x10024A61	char	
[1674]	'a' (0x61)	0x10024A62	char	
[1675]	'"' (0x22)	0x10024A63	char	
[1676]	'ï' (0xEF)	0x10024A64	char	
[1677]	'8' (0x38)	0x10024A65	char	
[1678]	'.' (0x1E)	0x10024A66	char	
[1679]	'¸' (0xB8)	0x10024A67	char	
[1680]	'C' (0x43)	0x10024A68	char	
[1681]	'»' (0xBB)	0x10024A69	char	
[1682]	',' (0x2C)	0x10024A6A	char	
[1683]	'‡' (0x87)	0x10024A6B	char	
[1684]	'ž' (0x9E)	0x10024A6C	char	
[1685]	'ž' (0x9E)	0x10024A6D	char	
[1686]	'7' (0x37)	0x10024A6E	char	
[1687]	'†' (0x86)	0x10024A6F	char	
[1688]	'X' (0x58)	0x10024A70	char	
[1689]	'.' (0x0E)	0x10024A71	char	
[1690]	'}' (0x7D)	0x10024A72	char	
[1691]	'î' (0xEE)	0x10024A73	char	
[1692]	'.' (0x12)	0x10024A74	char	
[1693]	'¡' (0xA1)	0x10024A75	char	
[1694]	'3' (0x33)	0x10024A76	char	
[1695]	'' (0x81)	0x10024A77	char	
[1696]	'z' (0x7A)	0x10024A78	char	
[1697]	'¬' (0xAC)	0x10024A79	char	
[1698]	'ó' (0xF3)	0x10024A7A	char	
[1699]	'' (0x90)	0x10024A7B	char	
[1700]	'ï' (0xEF)	0x10024A7C	char	
[1701]	']' (0x5D)	0x10024A7D	char	
[1702]	'D' (0x44)	0x10024A7E	char	
[1703]	'.' (0x7F)	0x10024A7F	char	
[1704]	'' (0x81)	0x10024A80	char	
[1705]	'ê' (0xEA)	0x10024A81	char	
[1706]	'\' (0x5C)	0x10024A82	char	
[1707]	'F' (0x46)	0x10024A83	char	
[1708]	'Ã' (0xC3)	0x10024A84	char	
[1709]	'.' (0x13)	0x10024A85	char	
[1710]	'Y' (0x59)	0x10024A86	char	
[1711]	'´' (0xB4)	0x10024A87	char	
[1712]	'•' (0x95)	0x10024A88	char	
[1713]	'¥' (0xA5)	0x10024A89	char	
[1714]	'Þ' (0xDE)	0x10024A8A	char	
[1715]	'ý' (0xFD)	0x10024A8B	char	
[1716]	'Þ' (0xDE)	0x10024A8C	char	
[1717]	'o' (0x6F)	0x10024A8D	char	
[1718]	'©' (0xA9)	0x10024A8E	char	
[1719]	'ë' (0xEB)	0x10024A8F	char	
[1720]	'ê' (0xEA)	0x10024A90	char	
[1721]	'•' (0x95)	0x10024A91	char	
[1722]	'h' (0x68)	0x10024A92	char	
[1723]	'c' (0x63)	0x10024A93	char	
[1724]	'Z' (0x5A)	0x10024A94	char	
[1725]	'.' (0x1B)	0x10024A95	char	
[1726]	'¦' (0xA6)	0x10024A96	char	
[1727]	'Ý' (0xDD)	0x10024A97	char	
[1728]	'Û' (0xDB)	0x10024A98	char	
[1729]	'9' (0x39)	0x10024A99	char	
[1730]	'‚' (0x82)	0x10024A9A	char	
[1731]	'u' (0x75)	0x10024A9B	char	
[1732]	'ü' (0xFC)	0x10024A9C	char	
[1733]	'”' (0x94)	0x10024A9D	char	
[1734]	'' (0x8F)	0x10024A9E	char	
[1735]	'G' (0x47)	0x10024A9F	char	
[1736]	'.' (0x04)	0x10024AA0	char	
[1737]	'6' (0x36)	0x10024AA1	char	
[1738]	'6' (0x36)	0x10024AA2	char	
[1739]	'S' (0x53)	0x10024AA3	char	
[1740]	'”' (0x94)	0x10024AA4	char	
[1741]	'>' (0x3E)	0x10024AA5	char	
[1742]	'W' (0x57)	0x10024AA6	char	
[1743]	'Y' (0x59)	0x10024AA7	char	
[1744]	'ë' (0xEB)	0x10024AA8	char	
[1745]	'.' (0x19)	0x10024AA9	char	
[1746]	'I' (0x49)	0x10024AAA	char	
[1747]	'H' (0x48)	0x10024AAB	char	
[1748]	'd' (0x64)	0x10024AAC	char	
[1749]	'ç' (0xE7)	0x10024AAD	char	
[1750]	'?' (0x3F)	0x10024AAE	char	
[1751]	'ø' (0xF8)	0x10024AAF	char	
[1752]	'{' (0x7B)	0x10024AB0	char	
[1753]	'_' (0x5F)	0x10024AB1	char	
[1754]	'a' (0x61)	0x10024AB2	char	
[1755]	'¢' (0xA2)	0x10024AB3	char	
[1756]	'ï' (0xEF)	0x10024AB4	char	
[1757]	'H' (0x48)	0x10024AB5	char	
[1758]	'.' (0x16)	0x10024AB6	char	
[1759]	'¸' (0xB8)	0x10024AB7	char	
[1760]	'C' (0x43)	0x10024AB8	char	
[1761]	'»' (0xBB)	0x10024AB9	char	
[1762]	',' (0x2C)	0x10024ABA	char	
[1763]	'‡' (0x87)	0x10024ABB	char	
[1764]	'ž' (0x9E)	0x10024ABC	char	
[1765]	'ž' (0x9E)	0x10024ABD	char	
[1766]	'7' (0x37)	0x10024ABE	char	
[1767]	'†' (0x86)	0x10024ABF	char	
[1768]	'X' (0x58)	0x10024AC0	char	
[1769]	'.' (0x0E)	0x10024AC1	char	
[1770]	'}' (0x7D)	0x10024AC2	char	
[1771]	'î' (0xEE)	0x10024AC3	char	
[1772]	'.' (0x12)	0x10024AC4	char	
[1773]	'¡' (0xA1)	0x10024AC5	char	
[1774]	'3' (0x33)	0x10024AC6	char	
[1775]	'' (0x81)	0x10024AC7	char	
[1776]	'z' (0x7A)	0x10024AC8	char	
[1777]	'¬' (0xAC)	0x10024AC9	char	
[1778]	'ó' (0xF3)	0x10024ACA	char	
[1779]	'' (0x90)	0x10024ACB	char	
[1780]	'ï' (0xEF)	0x10024ACC	char	
[1781]	']' (0x5D)	0x10024ACD	char	
[1782]	'D' (0x44)	0x10024ACE	char	
[1783]	'.' (0x7F)	0x10024ACF	char	
[1784]	'' (0x81)	0x10024AD0	char	
[1785]	'ê' (0xEA)	0x10024AD1	char	
[1786]	'\' (0x5C)	0x10024AD2	char	
[1787]	'F' (0x46)	0x10024AD3	char	
[1788]	'Ã' (0xC3)	0x10024AD4	char	
[1789]	'.' (0x13)	0x10024AD5	char	
[1790]	'Y' (0x59)	0x10024AD6	char	
[1791]	'´' (0xB4)	0x10024AD7	char	
[1792]	'•' (0x95)	0x10024AD8	char	
[1793]	'¥' (0xA5)	0x10024AD9	char	
[1794]	'Þ' (0xDE)	0x10024ADA	char	
[1795]	'ý' (0xFD)	0x10024ADB	char	
[1796]	'Þ' (0xDE)	0x10024ADC	char	
[1797]	'o' (0x6F)	0x10024ADD	char	
[1798]	'©' (0xA9)	0x10024ADE	char	
[1799]	'ë' (0xEB)	0x10024ADF	char	
[1800]	'ê' (0xEA)	0x10024AE0	char	
[1801]	'•' (0x95)	0x10024AE1	char	
[1802]	'h' (0x68)	0x10024AE2	char	
[1803]	'c' (0x63)	0x10024AE3	char	
[1804]	'Z' (0x5A)	0x10024AE4	char	
[1805]	'.' (0x1B)	0x10024AE5	char	
[1806]	'¦' (0xA6)	0x10024AE6	char	
[1807]	'Ý' (0xDD)	0x10024AE7	char	
[1808]	'Û' (0xDB)	0x10024AE8	char	
[1809]	'9' (0x39)	0x10024AE9	char	
[1810]	'‚' (0x82)	0x10024AEA	char	
[1811]	'u' (0x75)	0x10024AEB	char	
[1812]	'ü' (0xFC)	0x10024AEC	char	
[1813]	'”' (0x94)	0x10024AED	char	
[1814]	'' (0x8F)	0x10024AEE	char	
[1815]	'G' (0x47)	0x10024AEF	char	
[1816]	'.' (0x04)	0x10024AF0	char	
[1817]	'6' (0x36)	0x10024AF1	char	
[1818]	'6' (0x36)	0x10024AF2	char	
[1819]	'S' (0x53)	0x10024AF3	char	
[1820]	'”' (0x94)	0x10024AF4	char	
[1821]	'>' (0x3E)	0x10024AF5	char	
[1822]	'W' (0x57)	0x10024AF6	char	
[1823]	'Y' (0x59)	0x10024AF7	char	
[1824]	'ë' (0xEB)	0x10024AF8	char	
[1825]	'.' (0x19)	0x10024AF9	char	
[1826]	'I' (0x49)	0x10024AFA	char	
[1827]	'H' (0x48)	0x10024AFB	char	
[1828]	'd' (0x64)	0x10024AFC	char	
[1829]	'ç' (0xE7)	0x10024AFD	char	
[1830]	'?' (0x3F)	0x10024AFE	char	
[1831]	'ø' (0xF8)	0x10024AFF	char	
